trade_date,ticker,sector,sentiment,n_headlines
2020-01-02,ABBV,Healthcare,0.35076666666666667,3
2020-01-02,ABT,Healthcare,0.3436,4
2020-01-02,AMD,Tech,0.23916923076923077,13
2020-01-02,AMGN,Healthcare,0.23055714285714285,7
2020-01-02,AMT,RealEstate,0.021799999999999986,2
2020-01-02,BA,Industrials,0.059199999999999996,5
2020-01-02,CAT,Industrials,0.3612,1
2020-01-02,COP,Energy,0.2732,1
2020-01-02,CVX,Energy,0.1366,2
2020-01-02,DD,Materials,0.2628,2
2020-01-02,DIS,Consumer,0.1072857142857143,7
2020-01-02,DOW,Materials,0.0,3
2020-01-02,EA,Comm,0.12726666666666667,3
2020-01-02,GE,Industrials,0.13935,4
2020-01-02,GILD,Healthcare,0.20413333333333336,3
2020-01-02,GS,Financials,0.0,1
2020-01-02,INTC,Tech,0.20246,5
2020-01-02,KO,Consumer,-0.0702,4
2020-01-02,MMM,Industrials,0.0,2
2020-01-02,MRK,Healthcare,0.3707666666666667,6
2020-01-02,MS,Financials,0.0,1
2020-01-02,NEE,Utilities,0.7717,1
2020-01-02,NEM,Materials,0.28595,2
2020-01-02,NKE,Consumer,-0.135575,4
2020-01-02,NVDA,Tech,0.0,1
2020-01-02,O,RealEstate,0.3612,1
2020-01-02,OXY,Energy,0.35369999999999996,6
2020-01-02,QCOM,Tech,0.00868333333333333,6
2020-01-02,SBUX,Consumer,-0.3080333333333333,3
2020-01-02,SLB,Energy,0.18305,4
2020-01-02,T,Comm,0.37658,5
2020-01-02,TMUS,Comm,0.1591,2
2020-01-02,TTWO,Comm,0.3818,1
2020-01-02,UPS,Industrials,0.0,1
2020-01-02,USB,Financials,0.0,2
2020-01-02,V,Financials,0.6437333333333334,3
2020-01-02,WFC,Financials,0.031659999999999994,5
2020-01-02,WMT,Consumer,0.072575,4
2020-01-02,XOM,Energy,0.1751875,8
2020-01-03,AMD,Tech,0.1907125,8
2020-01-03,AMT,RealEstate,-0.12466666666666666,3
2020-01-03,BA,Industrials,-0.3182,1
2020-01-03,CAT,Industrials,-0.13940000000000002,2
2020-01-03,CCI,RealEstate,0.0772,1
2020-01-03,CMCSA,Comm,0.0,1
2020-01-03,COP,Energy,-0.18185,2
2020-01-03,CVX,Energy,-0.055175,4
2020-01-03,DIS,Consumer,0.074,4
2020-01-03,DUK,Utilities,0.6249,1
2020-01-03,GE,Industrials,0.05794999999999999,2
2020-01-03,GILD,Healthcare,0.214875,4
2020-01-03,INTC,Tech,0.29924285714285714,7
2020-01-03,KO,Consumer,-0.7003,1
2020-01-03,MMM,Industrials,-0.2294,2
2020-01-03,MRK,Healthcare,0.33525,2
2020-01-03,MS,Financials,0.3548,2
2020-01-03,NEE,Utilities,0.3565333333333333,3
2020-01-03,NEM,Materials,-0.5233,2
2020-01-03,NKE,Consumer,0.11534999999999998,2
2020-01-03,NUE,Materials,0.6249,1
2020-01-03,NVDA,Tech,0.0,1
2020-01-03,OXY,Energy,-0.18184,5
2020-01-03,PSA,RealEstate,0.25,1
2020-01-03,QCOM,Tech,0.0,1
2020-01-03,SLB,Energy,0.1198,6
2020-01-03,T,Comm,0.27115,2
2020-01-03,V,Financials,0.012499999999999983,4
2020-01-03,WFC,Financials,0.0,2
2020-01-03,WMT,Consumer,0.17556666666666665,3
2020-01-03,XOM,Energy,0.2562818181818182,11
2020-01-06,ABBV,Healthcare,0.29205,2
2020-01-06,ABT,Healthcare,0.4939,1
2020-01-06,ADBE,Tech,-0.41925,2
2020-01-06,AMD,Tech,0.1241,6
2020-01-06,AMGN,Healthcare,0.4853,2
2020-01-06,BA,Industrials,0.09606666666666668,9
2020-01-06,CAT,Industrials,0.0,1
2020-01-06,CCI,RealEstate,0.0,1
2020-01-06,CMCSA,Comm,0.09106249999999999,8
2020-01-06,COP,Energy,0.09106666666666667,3
2020-01-06,CVX,Energy,0.0876,4
2020-01-06,D,Utilities,0.0,2
2020-01-06,DD,Materials,-0.4019,1
2020-01-06,DIS,Consumer,0.15814375,16
2020-01-06,DOW,Materials,0.1806,2
2020-01-06,DUK,Utilities,0.3612,1
2020-01-06,EA,Comm,0.1909,2
2020-01-06,GE,Industrials,0.132075,4
2020-01-06,GILD,Healthcare,0.68065,2
2020-01-06,GS,Financials,-0.1779,1
2020-01-06,INTC,Tech,0.06743333333333333,3
2020-01-06,KO,Consumer,0.283825,4
2020-01-06,MRK,Healthcare,0.25552,5
2020-01-06,MS,Financials,0.18975,2
2020-01-06,NEE,Utilities,0.31845,2
2020-01-06,NEM,Materials,0.21574,5
2020-01-06,NKE,Consumer,0.020233333333333325,3
2020-01-06,NUE,Materials,0.0,1
2020-01-06,NVDA,Tech,0.0,1
2020-01-06,OXY,Energy,0.09853636363636364,11
2020-01-06,PLD,RealEstate,0.296,1
2020-01-06,PSA,RealEstate,0.148,2
2020-01-06,QCOM,Tech,0.5994,1
2020-01-06,SBUX,Consumer,0.13935,4
2020-01-06,SLB,Energy,0.0662,8
2020-01-06,SO,Utilities,-0.2732,1
2020-01-06,T,Comm,0.4139166666666667,6
2020-01-06,USB,Financials,-0.2327,5
2020-01-06,V,Financials,0.2053,2
2020-01-06,WFC,Financials,0.27115,2
2020-01-06,WMT,Consumer,0.10919999999999999,17
2020-01-06,XOM,Energy,0.1614,8
2020-01-07,ABBV,Healthcare,0.4086,5
2020-01-07,ABT,Healthcare,0.4633,3
2020-01-07,AMD,Tech,0.16131249999999997,8
2020-01-07,AMGN,Healthcare,0.0,1
2020-01-07,AMT,RealEstate,0.0,1
2020-01-07,BA,Industrials,0.15951428571428572,7
2020-01-07,CAT,Industrials,0.1643,4
2020-01-07,CMCSA,Comm,0.9062,1
2020-01-07,CVX,Energy,0.0,3
2020-01-07,DD,Materials,0.0,1
2020-01-07,DIS,Consumer,0.05778749999999999,8
2020-01-07,GE,Industrials,0.0,1
2020-01-07,GILD,Healthcare,0.0,1
2020-01-07,GS,Financials,0.059199999999999996,5
2020-01-07,INTC,Tech,0.01412857142857142,7
2020-01-07,KO,Consumer,0.218725,4
2020-01-07,MRK,Healthcare,-0.17456,5
