fund,base_fund,tilt_strength_kappa,base_annualized_return,fused_annualized_return,base_annualized_volatility,fused_annualized_volatility,base_sharpe_ratio,fused_sharpe_ratio,base_max_drawdown,fused_max_drawdown,base_growth_of_1,fused_growth_of_1,sharpe_change
Equity Equal Weight + Sentiment,Equity Equal Weight,1.0,0.059748,0.059217,0.177052,0.176697,0.4162,0.4138,-0.203219,-0.201972,1.1223,1.1212,-0.0024
Equity Minimum Variance + Sentiment,Equity Minimum Variance,1.0,0.025819,0.029694,0.134645,0.133742,0.2566,0.2856,-0.164519,-0.164573,1.052,1.0599,0.029
